candidate,seed,gamma,coupling_scale,nonlinear_strength,loss,input_injection,noise,connectivity_radius,peak_norm_through_t32,norm_t32,survival_t16,survival_t32,effective_rank_t32,effective_rank_retention,noise_adjusted_capacity_bits,cycle_period,input_separation,nonlinear_effect,accepted,failure_reasons
candidate-17,202,0.03,1.5,2.0,0.98,0.5,0.0,1,0.9697208175321326,0.37801670238152224,0.6210916752043636,0.3914609497532649,3.9999369735125767,0.9999883841052053,26.29791863784494,,0.13723196416499597,0.0014898053453086236,true,
candidate-17,303,0.03,1.5,2.0,0.98,0.5,0.0,1,0.9771274186955183,0.5445299741200449,0.5843594983304831,0.34690660571426946,3.999925654824666,0.9999822923364832,26.29188085976999,,0.2597002876367647,0.037173679268666375,true,
candidate-18,101,0.03,2.0,0.5,0.98,0.1,0.0,1,0.9740751661501635,0.5741325934408059,0.6616775222508144,0.50116548115025,3.9999377747405744,1.0000167053060145,26.378377951967956,,0.09437661184290827,0.014953480511289696,true,
candidate-18,202,0.03,2.0,0.5,0.98,0.1,0.0,1,0.9701106161005705,0.3840503245387519,0.6255229538290791,0.40207950528889996,3.999905847704125,0.9999812865264823,26.31768852946179,,0.037913944816980794,0.0019715978245735052,true,
candidate-18,303,0.03,2.0,0.5,0.98,0.1,0.0,1,0.9804931264798517,0.6581209421970802,0.5760089062711562,0.3512898178953604,3.9998446534330645,0.9999614735046779,26.302515463464495,,0.07861604957061716,0.015000637765865809,true,
candidate-19,101,0.03,2.0,0.5,0.98,0.3,0.0,1,0.9737259201064795,0.5346798498925026,0.6680577910972049,0.5138920291722577,3.999933070921023,1.0000192767433356,26.382493908436665,,0.2806999683359956,0.02870191220097769,true,
candidate-19,202,0.03,2.0,0.5,0.98,0.3,0.0,1,0.9698745087425729,0.3821534191336792,0.6254701397939794,0.4019876822456684,3.9999059738613103,0.9999813010029595,26.31750533797131,,0.1135731477816207,0.0013114882639195446,true,
candidate-19,303,0.03,2.0,0.5,0.98,0.3,0.0,1,0.9804831161564926,0.6545546096817224,0.5748739322647807,0.3503756936638709,3.9998414352308895,0.9999607358376723,26.301892035277632,,0.23439385122490533,0.021699158128694836,true,
candidate-20,101,0.03,2.0,0.5,0.98,0.5,0.0,1,0.9732863521963282,0.5040438981704226,0.6724256732957724,0.519751254876816,3.999930721888565,1.0000215626134872,26.386093521029736,,0.4600325194887393,0.04850661726565601,true,
candidate-20,202,0.03,2.0,0.5,0.98,0.5,0.0,1,0.9696405064916663,0.38121589607888234,0.6253979199056807,0.4018609363606656,3.9999062098084077,0.9999813420755121,26.317279006453074,,0.188729409210408,0.0009050516524940891,true,
candidate-20,303,0.03,2.0,0.5,0.98,0.5,0.0,1,0.9804124429791982,0.6544526487605338,0.5737640874147799,0.3493501106671967,3.9998402404759474,0.9999605269444735,26.301135831927112,,0.38591739952664755,0.033261097772930785,true,
candidate-21,101,0.03,2.0,1.0,0.98,0.1,0.0,1,0.9732571059402991,0.5454762547898994,0.6504396524267135,0.48374455778883924,3.999944531799577,1.0000114473629307,26.362161751364567,,0.0886365404554892,0.027526799064599903,true,
candidate-21,202,0.03,2.0,1.0,0.98,0.1,0.0,1,0.970100233733774,0.3839772801156811,0.6256024180591175,0.40207807575981386,3.999905926398344,0.9999812669392435,26.316697779666313,,0.03717054087903259,0.0038483451189875793,true,
candidate-21,303,0.03,2.0,1.0,0.98,0.1,0.0,1,0.9798916378823144,0.6377330452275104,0.5801596566800156,0.34939576269655237,3.9998640893362363,0.9999664877900164,26.300407596170615,,0.07535062293166361,0.02793280969864695,true,
candidate-22,101,0.03,2.0,1.0,0.98,0.3,0.0,1,0.9731633039436621,0.5149407750920783,0.6600091529369991,0.5036122945979709,3.9999378152378626,1.000015454157273,26.366536823394636,,0.262077172370839,0.05113202215050967,true,
candidate-22,202,0.03,2.0,1.0,0.98,0.3,0.0,1,0.9698668056677119,0.38207430381982277,0.6254973428727554,0.401895653604584,3.9999061771101454,0.9999812958122495,26.316345019447997,,0.1111903614106126,0.0025698671541902448,true,
candidate-22,303,0.03,2.0,1.0,0.98,0.3,0.0,1,0.979849603933672,0.634595710670803,0.5783449968525437,0.3476885609889314,3.999858789153671,0.9999652016759427,26.299569408939536,,0.22359206551405314,0.03980033616503265,true,
candidate-23,101,0.03,2.0,1.0,0.98,0.5,0.0,1,0.9729330129931477,0.4895277484135176,0.6676017343779527,0.5136587375698257,3.9999350756006353,1.0000203817905493,26.370843669681634,,0.42478305114991793,0.08343229147728339,true,
candidate-23,202,0.03,2.0,1.0,0.98,0.5,0.0,1,0.969636692360393,0.38112585711330255,0.6253544762510436,0.40164508586081726,3.999906643537568,0.9999813771505538,26.3159120680603,,0.18425786897980156,0.0017826395074549198,true,
candidate-23,303,0.03,2.0,1.0,0.98,0.5,0.0,1,0.9796963032564033,0.6332646381878958,0.5766518290157423,0.34594502185257087,3.9998569732570575,0.9999648066556454,26.29862464583342,,0.36473524706929705,0.059690435099596206,true,
candidate-24,101,0.03,2.0,2.0,0.98,0.1,0.0,1,0.9722480516982348,0.5085644039857203,0.635064263232411,0.45929222694516547,3.9999511521634554,1.000003088901369,26.34611071283561,,0.08008495597416844,0.04769698870975569,true,
candidate-24,202,0.03,2.0,2.0,0.98,0.1,0.0,1,0.9700802589993769,0.38383386371000794,0.6257478741335936,0.40206818940206407,3.999906083907961,0.9999812212777704,26.3148262746995,,0.03581129129194956,0.0073499150624110185,true,
candidate-24,303,0.03,2.0,2.0,0.98,0.1,0.0,1,0.9789600235230635,0.6072312851811993,0.5860705766386192,0.34946749358043205,3.999890669542871,0.9999734524879363,26.297086274814024,,0.07011159182493111,0.049271821356819796,true,
candidate-25,101,0.03,2.0,2.0,0.98,0.3,0.0,1,0.9724376635875992,0.48880367668259433,0.6468745595234471,0.48561753268901237,3.999942570090007,1.000005993618982,26.349108122454936,,0.23487186208015765,0.0844689192313452,true,
candidate-25,202,0.03,2.0,2.0,0.98,0.3,0.0,1,0.9698520391138902,0.38191951787701006,0.6255400341633872,0.4017082316258173,3.9999065791155095,0.9999812783293454,26.31417153422082,,0.1068478062890381,0.004943167188695141,true,
candidate-25,303,0.03,2.0,2.0,0.98,0.3,0.0,1,0.978867428350164,0.6043615937865958,0.5836749256225141,0.34672573327728257,3.999882961199652,0.9999714705168065,26.29649224455821,,0.20659036664247557,0.0686316457506944,true,
candidate-26,101,0.03,2.0,2.0,0.98,0.5,0.0,1,0.9724694171014818,0.4697786074964041,0.658728524350272,0.5008708562763042,3.9999411235739006,1.0000128127309218,26.35287328788705,,0.3751649170754385,0.13153975850343733,true,
candidate-26,202,0.03,2.0,2.0,0.98,0.5,0.0,1,0.9696293763296459,0.3809506787253375,0.6252605378982246,0.40121852163516963,3.999907490994632,0.9999814371998982,26.313378192815648,,0.17616529652647467,0.0034620895206537335,true,
candidate-26,303,0.03,2.0,2.0,0.98,0.5,0.0,1,0.9785980532215401,0.6010107602104275,0.5816286293724969,0.3441973370044969,3.999880794358133,0.9999708552038935,26.295955511706197,,0.33236823471255333,0.0997740245350363,true,
candidate-27,101,0.05,1.0,0.5,0.98,0.1,0.0,1,0.9540794413285437,0.27706382612970004,0.47193736935965724,0.24763874099362412,3.9999507132855876,1.0000136800589967,26.140907520045147,,0.059843771096341244,0.001048910918782041,true,
candidate-27,202,0.05,1.0,0.5,0.98,0.1,0.0,1,0.9500957567592151,0.19610204103356066,0.4462020311881328,0.20306875549020265,3.9999239350622857,0.9999856819846785,26.068560858723792,,0.025038903381970398,0.00014987425108360463,true,
candidate-27,303,0.05,1.0,0.5,0.98,0.1,0.0,1,0.9591735515271705,0.3137978140873599,0.4124843509098862,0.17981697932341387,3.999875078155318,0.9999695386091795,26.060446012375717,,0.04982337019119122,0.0010063338323977008,true,
candidate-28,101,0.05,1.0,0.5,0.98,0.3,0.0,1,0.9535522217403153,0.2515644011781596,0.472849059293479,0.2485020930512754,3.9999504414176337,1.0000144453721447,26.14238655237711,,0.17917478652581756,0.0023363932676160235,true,
candidate-28,202,0.05,1.0,0.5,0.98,0.3,0.0,1,0.9498967788834084,0.19483757793677084,0.44619535760808926,0.20306102030067333,3.9999239576377463,0.9999856834566409,26.068526103782368,,0.07508797952355753,0.00009641676168234651,false,nonlinear ablation unchanged
candidate-28,303,0.05,1.0,0.5,0.98,0.3,0.0,1,0.9591860894122991,0.3143531178562849,0.41229585121149037,0.17969958795185464,3.9998751066993945,0.9999695759965415,26.060260550428904,,0.1492503196798319,0.0015354133915119188,true,
candidate-29,101,0.05,1.0,0.5,0.98,0.5,0.0,1,0.9530082598540672,0.23975369618878895,0.4733071434052503,0.2485790586286555,3.9999505522547585,1.000014980050186,26.143563716409215,,0.2974461900628713,0.0045003386643900755,true,
candidate-29,202,0.05,1.0,0.5,0.98,0.5,0.0,1,0.9496986629119024,0.1943613196449233,0.4461858626295094,0.2030497678542738,3.99992400096382,0.9999856897713537,26.068482901331326,,0.12505100064089517,0.00007301963892813609,false,nonlinear ablation unchanged
candidate-29,303,0.05,1.0,0.5,0.98,0.5,0.0,1,0.9591893009418367,0.3197879888245371,0.4121060926348413,0.1795610279458895,3.99987554691223,0.9999697219670435,26.060031428729648,,0.24802209911438688,0.0026728441525878132,true,
candidate-30,101,0.05,1.0,1.0,0.98,0.1,0.0,1,0.9538139301697778,0.27442949506819825,0.4701726213416077,0.24612327711694984,3.9999511791367155,1.0000130363664301,26.13364235206773,,0.059292558911576594,0.002063603952478939,true,
candidate-30,202,0.05,1.0,1.0,0.98,0.1,0.0,1,0.9500935449300031,0.19609585702081386,0.4462143647977839,0.20307056765720558,3.9999239429109568,0.9999856686660107,26.068368614826348,,0.024967481019817224,0.0002979579110170744,true,
candidate-30,303,0.05,1.0,1.0,0.98,0.1,0.0,1,0.9590152095668707,0.31226742747805536,0.4132044192333127,0.17961401423398146,3.9998761667052016,0.9999697760493937,26.060000199195493,,0.04956865317090115,0.0019827837684687102,true,
candidate-31,101,0.05,1.0,1.0,0.98,0.3,0.0,1,0.9533781658603461,0.2499661088760876,0.4718823259723737,0.24776053968558442,3.9999506629427577,1.0000145114571057,26.136079300414114,,0.17719259924183406,0.004564302909337176,true,
candidate-31,202,0.05,1.0,1.0,0.98,0.3,0.0,1,0.9498951431373607,0.19483075069708308,0.4462010249242918,0.2030551138576481,3.9999239880238617,0.9999856715988337,26.06829983556927,,0.07484541089149051,0.00019184831276058628,true,
