run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,28,0,0,0.0,0.0,881,0.881
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,29,0,0,0.0,0.0,867,0.867
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,30,1,0,0.001092896174863388,0.0,850,0.85
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,31,0,0,0.0,0.0,843,0.843
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,32,0,0,0.0,0.0,825,0.825
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,1,0,0,0.0,0.0,0,0.0
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,2,0,7,0.0,0.06481481481481481,978,0.978
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,3,0,1,0.0,0.0099009900990099,996,0.996
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,4,0,0,0.0,0.0,996,0.996
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,5,1,0,0.0011111111111111111,0.0,996,0.996
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,6,0,0,0.0,0.0,997,0.997
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,7,1,0,0.0011123470522803114,0.0,996,0.996
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,8,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,9,0,1,0.0,0.00980392156862745,997,0.997
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,10,0,0,0.0,0.0,998,0.998
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,11,0,0,0.0,0.0,998,0.998
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,12,0,0,0.0,0.0,997,0.997
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,13,0,0,0.0,0.0,999,0.999
